LINEA,SKU,MODELO,COLOR,DESCRIPCION,GENERICO,TIPO,SUBTIPO,PACK,CANTIDAD,PRECIO
CLM,551299,PREGRADUADO,NEGRO,PREGRADUADO 2.5,E,P,PRE,PRE-25,2,0
CLM,551301,PREGRADUADO,AZUL,PREGRADUADO 1.5,E,P,PRE,PRE-15,1,0
CLM,551304,PREGRADUADO,AZUL,PREGRADUADO 3.0,E,P,PRE,PRE-30,1,0
CLM,551307,PREGRADUADO,CAREY,PREGRADUADO 2.5,E,P,PRE,PRE-25,2,0
CLM,551308,PREGRADUADO,CAREY,PREGRADUADO 3.0,E,P,PRE,PRE-30,1,0
CLM,551375,A564,TRANSPARENTE,LENTES PROTECTORES,E,P,ADS,ADS,68,0
CLM,551532,6006,ROSA,LENTES BLUE LIGHT,E,P,BL,BL,1,0
CLM,551533,6006,NEGRO,LENTES BLUE LIGHT,E,P,BL,BL,1,0
EST,16028,1487,,FORTIUS GRANDE CORTESIA,E,E,FAC_RM,,140,0
EST,221448,1492,,ESTUCHE R- 85 GRANDE MAS VISION,E,E,EST,EST,60000,0
EST,507586,1492V,NEGRO,ESTUCHE MAS VISION GRANDE PARA VENTA,E,E,ESTR,ESTR,30334,0
FSL,549212,GEL-001,TRANSPARENTE,GEL ANTIBACTERIAL  INDIVIDUAL,E,SA,LIMP,LIMP,3000,0
FSL,551266,GEL-002,TRANSPARENTE,GEL-001-3,E,SA,LIMP,LIMP,371,0
FSL,551330,CUBRE300004,AZUL,CUBRE-30000-4,E,SA,COV,COV,25,0
FSL,551349,LENTEVENUS,TRANSP/NEGRO,LENTE VENUS CON ANTIEMPANANTE,E,SA,ADS,ADS,2,0
FSL,551384,LENTESEGURIDAD,NEGRO/AZUL,LENTES DE SEGURIDAD,E,SA,ADS,ADS,6,0
GVS,508295,ESTUCHE GVS,,ESTUCHE GENERICO,E,E,ESTEB,ESTEB,300,0
HIL,186326,76320000,NEGRO,VENTURE WITH SPORTS CLIP,E,E,P0,P0H,87,0
HIL,507552,88356000,ROJO,KIDS PALS COLLECTION TEDDY BEAR HOLDER,E,C,CAD,CAD-I,354,0
HIL,507553,88351000,AMARILLO,KIDS PALS COLLECTION CAT HOLDER,E,C,CAD,CAD-I,342,0
HIL,507554,88353000,AZUL,KIDS PALS COLLECTION MOUSE HOLDER,E,C,CAD,CAD-I,342,0
HIL,507557,87803000,MARRON,LEADER SPORTS LINE COLLECTION FLECK BROWN,E,C,CAD,CAD-U,29,0
HIL,507558,87801000,NEGRO,LEADER SPORTS LINE COLLECTION BLACK,E,C,CAD,CAD-U,3,0
HIL,507559,87806000,NEGRO,LEADER SPORTS LINE COLLECTION FLECK BLACK,E,C,CAD,CAD-U,5,0
HIL,507561,84133000,DORADA,CALISA FASHION EYEWEAR HOLDER,E,C,CAD,CAD-U,1,0
HIL,507563,82760000,NEGRO,SNAP-ON SPORT BAND COLLECTION  INDIVIDUAL,E,C,CAD,CAD-U,7,0
HIL,507584,75400000,NEGRO/CAFE/NARANJA/ROSA,ZIP SPECS,E,E,EST,EST,16,0
HIL,508240,75750000,CAFE,FFEDUCHI RODEO STOK CAFE,E,P,EST,EST,15,0
HMS,5402,T5114,,TOALLAS HUMEDAS,E,L,FAC_RV,,15,0
HMS,549214,PT-02-040-04,BLANCAS,CUBETA DE TOALLAS DESINFECTANTES,E,SA,COV,COV,156,0
HPS,549213,TEKNO-002,NEGRO,CUBREBOCAS NEOPRENO,E,SA,COV,COV,17,0
INS,503205,ISY-CASE,LL,DIRECT-CASE,E,E,ESTEB,ESTEB,500,0
JUL,551292,JUL-CASE,BB,DIRECT-CASE,E,E,ESTEB,ESTEB,6000,0
KUS,509404,K-310,DORADO/JADE,JADE,E,C,,,73,0
KUS,509406,K-312,DORADO/CAFE/AZU,OJO DE TIGRE,E,C,CAD,CAD-M,313,0
KUS,509409,K-317,DORADO/PIEDRASV,CRISTAL VERDE VICTORIA,E,C,,,75,0
LIM,221449,T5121-1,,MICROFIBRAS NARANJO MAS VISION,E,L,CORT,CORT,2350,0
LIM,549216,GEL-003,TRANSPARENTE,GEL ANTIBACTERIAL,E,SA,LIMP,LIMP,707,0
MIN,551290,MIK-CASE,LL,DIRECT-CASE,E,E,ESTEB,ESTEB,500,0
POM,551521,FN009,BLACK,FN009/BLACK/,E,C,HLN,HLN,32,0
POM,551522,FN044,RED,FN044/RED/,E,C,HLN,HLN,9,0
POM,551523,FN067,WHITE,FN067/WHITE/,E,C,HLN,HLN,8,0
POM,551524,FN073,YELLOW,FN073/YELLOW/,E,C,HLN,HLN,12,0
POM,551525,FN076,FLY,FN076/FLY/,E,C,HLN,HLN,27,0
PVH,551406,VAPHA001,COLORES,CUBREBOCAS N95 PARA NINOS,E,SA,COV,COV,421,0
PVH,551407,VAPHA002,BLANCO/AZUL,CUBREBOCAS TRES CAPAS PARA NINO,E,SA,COV,COV,901,0
PVH,551408,VAPHA003,TRANSPARENTE,CARETA PROTECTORA CON LENTE INCLUIDO,E,SA,COV,COV,506,0
PVH,551409,VAPHA004,BLANCA,CAJA ESTERILIZADORA PARA TELEFONO Y CUBREBOCAS,E,SA,,,4,0
PVH,551526,VAPHA006,HALLOWEEN,KN95 HALLOWEEN NINOS,E,SA,COV,COV,4,0
