SKU,LINEA,GENERICO,DESCRIPCION,STOCK
551351,SLM,E,SANIFEX SPRAY 170,1
551352,SLM,E,SANIFEX TOALLAS 30,58
216080,SO,E,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",652
216081,SO,E,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",650
216082,SO,E,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",275
216083,SO,E,",/SODM51/ACCESORIOS/LINEA POLARIZADO////62/18//",273
216084,SO,E,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",644
216085,SO,E,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",402
216086,SO,E,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",329
5633,URS,E,PORTALENTE DE PIEL,2
10053,URS,E,METALICA,2
10055,URS,E,METALICA,1
11522,URS,E,PORTALENTE DE RESORTE,1
15748,URS,E,METALICA,5
15755,URS,E,METALICA,1
16997,URS,E,SUJETADOR KIDS DELGADO,1
290525,URS,E,METALICA,1
290546,URS,E,SUJETADOR JEANS GRUESO,1
290549,URS,E,SUJETADOR KIDS GRUESO,2
298977,URS,E,PERLAS DE MADERA,1
501860,URS,E,TIPO AGUJETA CLASICA,7
501883,URS,E,PERLAS DE MADERA,2
501884,URS,E,RESORTE,1
501885,URS,E,RESORTE,53
501887,URS,E,RESORTE,347
502035,URS,E,PORTALENTES DE CORDON,8
502037,URS,E,PORTALENTES DE CORDON,15
502042,URS,E,TIPO AGUJETA CLASICA,1
502045,URS,E,SUJETADOR JEANS DELGADO,4
502048,URS,E,SUJETADOR DE PIEL,1
